epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
40,2977.59,0.54276,0.9549,0.3927,1.22572,0.97732,0.98095,0.99325,0.88064,0.97732,0.98095,0.99325,0.86289,0.47906,0.75501,0.31213,1.30253,0.0016139,0.0016139,0.0016139
41,3050.75,0.5417,0.95522,0.40071,1.22692,0.97652,0.99003,0.99303,0.88467,0.97652,0.99003,0.99303,0.86442,0.49,0.75431,0.30723,1.30798,0.001604,0.001604,0.001604
42,3124.15,0.54397,0.95128,0.40141,1.23113,0.97585,0.98571,0.99293,0.88224,0.97585,0.98571,0.99293,0.85976,0.4765,0.78117,0.31033,1.30631,0.0015941,0.0015941,0.0015941
43,3197.58,0.53824,0.94744,0.39378,1.22269,0.98809,0.98795,0.9942,0.88143,0.98809,0.98795,0.9942,0.86148,0.48643,0.77631,0.28666,1.32833,0.0015842,0.0015842,0.0015842
44,3270.85,0.53212,0.94645,0.39512,1.21601,0.98019,0.98571,0.99247,0.87482,0.98019,0.98571,0.99247,0.86501,0.49612,0.77523,0.31718,1.31668,0.0015743,0.0015743,0.0015743
45,3344.48,0.55157,0.94635,0.40714,1.23323,0.98109,0.98804,0.99313,0.89238,0.98109,0.98804,0.99313,0.86771,0.4746,0.77251,0.29346,1.30638,0.0015644,0.0015644,0.0015644
46,3417.5,0.53908,0.93155,0.39382,1.21856,0.99478,0.98333,0.99467,0.88697,0.99478,0.98333,0.99467,0.87669,0.48258,0.73522,0.30018,1.32638,0.0015545,0.0015545,0.0015545
47,3491.25,0.5204,0.93104,0.38511,1.20682,0.97662,0.99462,0.9935,0.88425,0.97662,0.99462,0.9935,0.86199,0.48108,0.76816,0.29306,1.30417,0.0015446,0.0015446,0.0015446
48,3564.98,0.53107,0.94184,0.39166,1.21851,0.9834,0.9876,0.99447,0.89624,0.9834,0.9876,0.99447,0.86299,0.4695,0.77548,0.27448,1.28736,0.0015347,0.0015347,0.0015347
49,3638.9,0.51083,0.92152,0.37661,1.20135,0.99201,0.9881,0.994,0.89207,0.99201,0.9881,0.994,0.86718,0.45858,0.72879,0.27421,1.26519,0.0015248,0.0015248,0.0015248
50,3712,0.52594,0.92743,0.38316,1.21241,0.99155,0.98571,0.99376,0.89407,0.99155,0.98571,0.99376,0.87245,0.47187,0.7557,0.2727,1.28575,0.0015149,0.0015149,0.0015149
51,3785.88,0.52892,0.91181,0.38173,1.20859,0.99036,0.99286,0.99275,0.89492,0.99036,0.99286,0.99275,0.86834,0.46127,0.75332,0.28212,1.24073,0.001505,0.001505,0.001505
52,3859.18,0.51248,0.93227,0.37927,1.1996,0.98797,0.99286,0.99353,0.88713,0.98797,0.99286,0.99353,0.86509,0.45629,0.78738,0.28717,1.26563,0.0014951,0.0014951,0.0014951
53,3932.51,0.5324,0.91966,0.39461,1.21454,0.98324,0.99048,0.9928,0.89293,0.98324,0.99048,0.9928,0.86547,0.44416,0.76231,0.27887,1.24054,0.0014852,0.0014852,0.0014852
54,4006.2,0.50671,0.90757,0.37939,1.19377,0.99374,0.98571,0.99394,0.90342,0.99374,0.98571,0.99394,0.88137,0.44948,0.7391,0.25508,1.26449,0.0014753,0.0014753,0.0014753
55,4079.62,0.5143,0.9173,0.38409,1.20547,0.98574,0.98742,0.99397,0.90216,0.98574,0.98742,0.99397,0.87865,0.44814,0.74006,0.27312,1.26765,0.0014654,0.0014654,0.0014654
56,4153.25,0.50462,0.91565,0.37683,1.18896,0.99716,0.98571,0.99416,0.89812,0.99716,0.98571,0.99416,0.87766,0.45854,0.72204,0.26483,1.25366,0.0014555,0.0014555,0.0014555
57,4226.56,0.50666,0.90271,0.37276,1.19185,0.9834,0.98714,0.99397,0.89843,0.9834,0.98714,0.99397,0.86807,0.44865,0.72206,0.27258,1.25688,0.0014456,0.0014456,0.0014456
58,4300.19,0.493,0.88343,0.35848,1.1808,0.9928,0.98519,0.99418,0.90097,0.9928,0.98519,0.99418,0.86685,0.44185,0.72563,0.25143,1.25398,0.0014357,0.0014357,0.0014357
59,4373.58,0.50486,0.8935,0.36759,1.19022,0.99185,0.98571,0.99395,0.89385,0.99185,0.98571,0.99395,0.87441,0.46615,0.73356,0.27128,1.27799,0.0014258,0.0014258,0.0014258
60,4446.04,0.50493,0.89845,0.37421,1.19154,0.9905,0.9925,0.99395,0.89976,0.9905,0.9925,0.99395,0.87824,0.43441,0.7194,0.25692,1.24744,0.0014159,0.0014159,0.0014159
61,4519.25,0.49513,0.88906,0.36937,1.18067,0.98815,0.9925,0.99353,0.90226,0.98815,0.9925,0.99353,0.87809,0.44246,0.71237,0.25762,1.26904,0.001406,0.001406,0.001406
62,4593.18,0.49509,0.87969,0.36672,1.17576,0.99157,0.98571,0.99454,0.89898,0.99157,0.98571,0.99454,0.87569,0.44438,0.72804,0.26294,1.26634,0.0013961,0.0013961,0.0013961
63,4666.56,0.50543,0.8966,0.37471,1.19439,0.99044,0.987,0.99391,0.89698,0.99044,0.987,0.99391,0.88478,0.4437,0.69815,0.26556,1.27875,0.0013862,0.0013862,0.0013862
64,4739.88,0.48728,0.88704,0.36263,1.17652,0.98801,0.99048,0.99318,0.89763,0.98801,0.99048,0.99318,0.87714,0.44227,0.733,0.26969,1.24428,0.0013763,0.0013763,0.0013763
65,4813.35,0.49155,0.88267,0.36595,1.17628,0.98343,0.9881,0.99265,0.89582,0.98343,0.9881,0.99265,0.87422,0.44824,0.71087,0.27428,1.2736,0.0013664,0.0013664,0.0013664
66,4887.06,0.48589,0.88065,0.35131,1.17636,0.98714,0.99286,0.99384,0.90654,0.98714,0.99286,0.99384,0.88473,0.43556,0.71652,0.26038,1.25347,0.0013565,0.0013565,0.0013565
67,4960.71,0.47403,0.86705,0.34568,1.15716,0.98567,0.98333,0.99312,0.90127,0.98567,0.98333,0.99312,0.88644,0.43696,0.71348,0.25536,1.26261,0.0013466,0.0013466,0.0013466
68,5033.99,0.47639,0.86441,0.34839,1.16823,0.98019,0.99048,0.99397,0.90261,0.98019,0.99048,0.99397,0.87825,0.43365,0.71721,0.26776,1.26396,0.0013367,0.0013367,0.0013367
69,5107.67,0.48733,0.89366,0.35965,1.17106,0.98583,0.9881,0.99378,0.91051,0.98583,0.9881,0.99378,0.88537,0.42767,0.69736,0.26116,1.22846,0.0013268,0.0013268,0.0013268
70,5181.14,0.47648,0.86788,0.35245,1.16303,0.98364,0.9881,0.99414,0.90955,0.98364,0.9881,0.99414,0.8816,0.43342,0.71736,0.26753,1.25372,0.0013169,0.0013169,0.0013169
71,5254.41,0.46929,0.8676,0.35058,1.15505,0.99043,0.98564,0.9944,0.91409,0.99043,0.98564,0.9944,0.87411,0.41464,0.73846,0.25714,1.20694,0.001307,0.001307,0.001307
72,5328.27,0.47667,0.84006,0.35448,1.16082,0.98757,0.9881,0.9935,0.90034,0.98757,0.9881,0.9935,0.88015,0.43735,0.71637,0.25156,1.23828,0.0012971,0.0012971,0.0012971
73,5401.69,0.48322,0.85303,0.34858,1.16577,0.98738,0.99048,0.99278,0.89925,0.98738,0.99048,0.99278,0.88176,0.42868,0.70431,0.25032,1.25226,0.0012872,0.0012872,0.0012872
74,5473.73,0.47768,0.85307,0.34781,1.1608,0.98723,0.98333,0.99312,0.90228,0.98723,0.98333,0.99312,0.89086,0.43368,0.69863,0.25579,1.24748,0.0012773,0.0012773,0.0012773
75,5547.47,0.46845,0.8536,0.34329,1.15469,0.98809,0.98801,0.99391,0.90794,0.98809,0.98801,0.99391,0.88545,0.42315,0.70458,0.25258,1.22473,0.0012674,0.0012674,0.0012674
76,5621.09,0.4647,0.83477,0.34261,1.15082,0.98195,0.98571,0.99359,0.91239,0.98195,0.98571,0.99359,0.88114,0.4081,0.70944,0.26443,1.20191,0.0012575,0.0012575,0.0012575
77,5694.58,0.46016,0.84852,0.33886,1.14596,0.99038,0.98065,0.99395,0.91007,0.99038,0.98065,0.99395,0.88764,0.41292,0.69233,0.25557,1.21053,0.0012476,0.0012476,0.0012476
78,5768.12,0.47608,0.86026,0.35042,1.16412,0.98966,0.9881,0.99338,0.90024,0.98966,0.9881,0.99338,0.87948,0.42522,0.70336,0.24611,1.23946,0.0012377,0.0012377,0.0012377
79,5841.25,0.45854,0.83311,0.3365,1.13839,0.98341,0.98773,0.99373,0.91039,0.98341,0.98773,0.99373,0.88479,0.40866,0.71367,0.25421,1.21299,0.0012278,0.0012278,0.0012278
80,5914.56,0.45891,0.85,0.33794,1.14073,0.98956,0.98333,0.9929,0.90436,0.98956,0.98333,0.9929,0.88627,0.40411,0.69032,0.25133,1.19963,0.0012179,0.0012179,0.0012179
81,5988.01,0.46457,0.85507,0.3396,1.15406,0.97864,0.99048,0.9923,0.90254,0.97864,0.99048,0.9923,0.88164,0.42894,0.70745,0.25887,1.25674,0.001208,0.001208,0.001208
82,6062.21,0.45774,0.82743,0.33921,1.14244,0.98108,0.98764,0.99215,0.90798,0.98108,0.98764,0.99215,0.88001,0.40442,0.69943,0.24593,1.21206,0.0011981,0.0011981,0.0011981
83,6135.68,0.46374,0.83103,0.34191,1.14247,0.98283,0.9881,0.99289,0.90741,0.98283,0.9881,0.99289,0.87995,0.42736,0.69331,0.25053,1.24962,0.0011882,0.0011882,0.0011882
84,6209.09,0.46141,0.84768,0.3414,1.14752,0.98689,0.9881,0.99353,0.91205,0.98689,0.9881,0.99353,0.8852,0.4192,0.70572,0.25259,1.21805,0.0011783,0.0011783,0.0011783
85,6282.77,0.44634,0.8175,0.33035,1.1288,0.98786,0.9881,0.99424,0.91552,0.98786,0.9881,0.99424,0.88726,0.40587,0.7003,0.2466,1.21787,0.0011684,0.0011684,0.0011684
86,6356.68,0.45143,0.82277,0.32896,1.13581,0.98994,0.98571,0.99332,0.91277,0.98994,0.98571,0.99332,0.88747,0.40707,0.69579,0.23644,1.20696,0.0011585,0.0011585,0.0011585
87,6430.2,0.45199,0.82701,0.33701,1.13214,0.9877,0.9881,0.99388,0.91338,0.9877,0.9881,0.99388,0.88279,0.40894,0.7028,0.24456,1.20054,0.0011486,0.0011486,0.0011486
88,6504,0.44708,0.81895,0.32844,1.1302,0.99172,0.98571,0.99392,0.91614,0.99172,0.98571,0.99392,0.89225,0.40472,0.67328,0.22647,1.20957,0.0011387,0.0011387,0.0011387
89,6578.3,0.44675,0.83819,0.33626,1.13556,0.98336,0.98503,0.99314,0.90814,0.98336,0.98503,0.99314,0.88665,0.40095,0.69193,0.24603,1.20762,0.0011288,0.0011288,0.0011288
